timestamp,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
26.544406,-0.151705,0.985325,-0.078237,-0.319476,-0.748708,-0.062876,0.659911,-0.280688,0.645308,0.158688,0.747259,-0.209997,0.000000,0.000000,0.000000,1.000000
26.561079,-0.147096,0.986428,-0.072960,-0.320843,-0.749566,-0.063039,0.658921,-0.280481,0.645379,0.151613,0.748665,-0.210683,0.000000,0.000000,0.000000,1.000000
26.577753,-0.142168,0.987545,-0.067406,-0.322157,-0.750209,-0.063076,0.658185,-0.279823,0.645736,0.144141,0.749833,-0.210662,0.000000,0.000000,0.000000,1.000000
26.594426,-0.137221,0.988641,-0.061320,-0.323622,-0.750670,-0.063402,0.657628,-0.279491,0.646270,0.136272,0.750843,-0.211100,0.000000,0.000000,0.000000,1.000000
26.611100,-0.132295,0.989693,-0.054818,-0.325177,-0.751041,-0.063995,0.657148,-0.279296,0.646866,0.128108,0.751766,-0.211638,0.000000,0.000000,0.000000,1.000000
26.627773,-0.127554,0.990659,-0.048226,-0.326799,-0.751309,-0.064764,0.656766,-0.279185,0.647507,0.120005,0.752551,-0.212130,0.000000,0.000000,0.000000,1.000000
26.644447,-0.123177,0.991511,-0.041624,-0.328476,-0.751669,-0.065832,0.656246,-0.279122,0.647935,0.112122,0.753398,-0.212508,0.000000,0.000000,0.000000,1.000000
26.661121,-0.119210,0.992257,-0.034854,-0.330211,-0.752435,-0.067383,0.655211,-0.279096,0.647789,0.104333,0.754642,-0.212745,0.000000,0.000000,0.000000,1.000000
26.677794,-0.115274,0.992946,-0.027757,-0.332148,-0.753528,-0.069204,0.653764,-0.278865,0.647231,0.096277,0.756190,-0.212220,0.000000,0.000000,0.000000,1.000000
26.694468,-0.111244,0.993577,-0.020728,-0.334029,-0.754225,-0.070827,0.652785,-0.278833,0.647124,0.088252,0.757259,-0.212101,0.000000,0.000000,0.000000,1.000000
26.711141,-0.107130,0.994144,-0.014205,-0.335908,-0.754270,-0.071956,0.652609,-0.278916,0.647765,0.080628,0.757562,-0.212117,0.000000,0.000000,0.000000,1.000000
26.727815,-0.102816,0.994663,-0.008682,-0.337829,-0.753786,-0.072216,0.653140,-0.279056,0.649027,0.073698,0.757188,-0.212152,0.000000,0.000000,0.000000,1.000000
26.744488,-0.098191,0.995162,-0.003494,-0.339808,-0.753129,-0.072014,0.653920,-0.279242,0.650504,0.066840,0.756556,-0.212163,0.000000,0.000000,0.000000,1.000000
26.761162,-0.093173,0.995647,0.002342,-0.341845,-0.752522,-0.071961,0.654624,-0.279493,0.651943,0.059231,0.755951,-0.212159,0.000000,0.000000,0.000000,1.000000
26.777836,-0.087894,0.996092,0.008695,-0.344014,-0.752044,-0.072079,0.655160,-0.279690,0.653227,0.051045,0.755440,-0.211688,0.000000,0.000000,0.000000,1.000000
26.794509,-0.082571,0.996469,0.015214,-0.346151,-0.751625,-0.072292,0.655618,-0.280064,0.654402,0.042700,0.754940,-0.211448,0.000000,0.000000,0.000000,1.000000
26.811183,-0.077656,0.996749,0.021450,-0.348254,-0.750985,-0.072632,0.656312,-0.280589,0.655737,0.034858,0.754184,-0.211254,0.000000,0.000000,0.000000,1.000000
26.827856,-0.073071,0.996949,0.027447,-0.350346,-0.749930,-0.073067,0.657469,-0.281274,0.657469,0.027459,0.752982,-0.211080,0.000000,0.000000,0.000000,1.000000
26.844530,-0.068288,0.997102,0.033547,-0.352478,-0.748504,-0.073436,0.659052,-0.282118,0.659605,0.019896,0.751349,-0.210946,0.000000,0.000000,0.000000,1.000000
26.861203,-0.063124,0.997213,0.039774,-0.354664,-0.746755,-0.073634,0.661010,-0.283109,0.662097,0.012025,0.749322,-0.210865,0.000000,0.000000,0.000000,1.000000
26.877877,-0.057834,0.997265,0.046013,-0.356110,-0.744807,-0.073792,0.663187,-0.284738,0.664769,0.004084,0.747038,-0.210714,0.000000,0.000000,0.000000,1.000000
26.894551,-0.052750,0.997226,0.052507,-0.358095,-0.742602,-0.074327,0.665596,-0.286165,0.667652,-0.003882,0.744463,-0.210682,0.000000,0.000000,0.000000,1.000000
26.911224,-0.047649,0.997106,0.059235,-0.360295,-0.740146,-0.075068,0.668243,-0.287594,0.670756,-0.012001,0.741581,-0.210736,0.000000,0.000000,0.000000,1.000000
26.927898,-0.042492,0.996946,0.065518,-0.362617,-0.737531,-0.075537,0.671075,-0.289052,0.673975,-0.019806,0.738488,-0.210829,0.000000,0.000000,0.000000,1.000000
26.944571,-0.037256,0.996762,0.071259,-0.365028,-0.734895,-0.075649,0.673948,-0.290530,0.677157,-0.027259,0.735334,-0.210951,0.000000,0.000000,0.000000,1.000000
26.961245,-0.032070,0.996527,0.076843,-0.367474,-0.732212,-0.075756,0.676851,-0.292026,0.680322,-0.034559,0.732099,-0.211122,0.000000,0.000000,0.000000,1.000000
26.977918,-0.027328,0.996232,0.082308,-0.369797,-0.729404,-0.076175,0.679829,-0.294388,0.683537,-0.041458,0.728737,-0.211249,0.000000,0.000000,0.000000,1.000000
26.994592,-0.022565,0.995901,0.087594,-0.372226,-0.726448,-0.076528,0.682947,-0.296174,0.686851,-0.048222,0.725197,-0.211466,0.000000,0.000000,0.000000,1.000000
27.011265,-0.017514,0.995488,0.093255,-0.374728,-0.723652,-0.076982,0.685858,-0.297725,0.689943,-0.055472,0.721735,-0.211719,0.000000,0.000000,0.000000,1.000000
27.027939,-0.012243,0.995016,0.098962,-0.377279,-0.721079,-0.077351,0.688522,-0.299131,0.692745,-0.062930,0.718432,-0.211958,0.000000,0.000000,0.000000,1.000000
27.044613,-0.006821,0.994501,0.104502,-0.379862,-0.718802,-0.077527,0.690879,-0.300414,0.695182,-0.070404,0.715378,-0.212156,0.000000,0.000000,0.000000,1.000000
27.061286,-0.001379,0.993941,0.109910,-0.382448,-0.716668,-0.077635,0.693080,-0.301595,0.697413,-0.077813,0.712432,-0.212310,0.000000,0.000000,0.000000,1.000000
27.077960,0.004034,0.993345,0.115107,-0.384046,-0.714509,-0.077669,0.695302,-0.302741,0.699615,-0.085050,0.709441,-0.212296,0.000000,0.000000,0.000000,1.000000
27.094633,0.009423,0.992725,0.120033,-0.386277,-0.712539,-0.077553,0.697333,-0.303737,0.701569,-0.092100,0.706625,-0.212274,0.000000,0.000000,0.000000,1.000000
27.111307,0.014867,0.992030,0.125122,-0.388693,-0.710938,-0.077505,0.698971,-0.304607,0.703097,-0.099345,0.704120,-0.212213,0.000000,0.000000,0.000000,1.000000
27.127980,0.020361,0.991288,0.130133,-0.391141,-0.709583,-0.077366,0.700362,-0.305366,0.704328,-0.106600,0.701825,-0.212110,0.000000,0.000000,0.000000,1.000000
27.144654,0.025763,0.990515,0.134967,-0.393559,-0.708400,-0.077172,0.701580,-0.306024,0.705341,-0.113686,0.699692,-0.211970,0.000000,0.000000,0.000000,1.000000
27.161327,0.031217,0.989688,0.139798,-0.395957,-0.707574,-0.076905,0.702442,-0.306570,0.705949,-0.120846,0.697877,-0.211791,0.000000,0.000000,0.000000,1.000000
27.178001,0.036851,0.988823,0.144469,-0.398180,-0.706965,-0.076379,0.703112,-0.306859,0.706288,-0.128045,0.696249,-0.211566,0.000000,0.000000,0.000000,1.000000
27.194675,0.042556,0.987912,0.149063,-0.400489,-0.706636,-0.075712,0.703515,-0.307157,0.706297,-0.135272,0.694872,-0.211334,0.000000,0.000000,0.000000,1.000000
27.211348,0.048089,0.986942,0.153731,-0.402776,-0.706553,-0.075178,0.703655,-0.307427,0.706024,-0.142457,0.693712,-0.211090,0.000000,0.000000,0.000000,1.000000
27.228022,0.053434,0.985930,0.158390,-0.405014,-0.706608,-0.074745,0.703647,-0.307663,0.705585,-0.149519,0.692671,-0.210837,0.000000,0.000000,0.000000,1.000000
27.244695,0.058830,0.984859,0.163068,-0.407212,-0.706774,-0.074268,0.703530,-0.307856,0.704989,-0.156641,0.691704,-0.210583,0.000000,0.000000,0.000000,1.000000
27.261369,0.064345,0.983705,0.167882,-0.409378,-0.707001,-0.073790,0.703352,-0.308011,0.704279,-0.163950,0.690733,-0.210340,0.000000,0.000000,0.000000,1.000000
27.278042,0.070014,0.982385,0.173256,-0.411528,-0.707435,-0.073554,0.702941,-0.308470,0.703302,-0.171783,0.689823,-0.210306,0.000000,0.000000,0.000000,1.000000
27.294716,0.075631,0.980927,0.179056,-0.413655,-0.708113,-0.073591,0.702253,-0.308661,0.702037,-0.179904,0.689042,-0.210141,0.000000,0.000000,0.000000,1.000000
27.311389,0.081301,0.979337,0.185174,-0.415784,-0.708978,-0.073758,0.701363,-0.308745,0.700528,-0.188306,0.688332,-0.209928,0.000000,0.000000,0.000000,1.000000
27.328063,0.087085,0.977638,0.191413,-0.417925,-0.710007,-0.073869,0.700310,-0.308762,0.698789,-0.196891,0.687697,-0.209696,0.000000,0.000000,0.000000,1.000000
27.344737,0.092650,0.975891,0.197617,-0.420058,-0.711216,-0.074038,0.699064,-0.308739,0.696842,-0.205316,0.687210,-0.209448,0.000000,0.000000,0.000000,1.000000
27.361410,0.098170,0.974078,0.203799,-0.422175,-0.712413,-0.074202,0.697826,-0.308687,0.694860,-0.213694,0.686662,-0.209227,0.000000,0.000000,0.000000,1.000000
27.378084,0.103673,0.972296,0.209505,-0.423937,-0.713267,-0.074124,0.696962,-0.308531,0.693183,-0.221689,0.685822,-0.208294,0.000000,0.000000,0.000000,1.000000
27.394757,0.108979,0.970708,0.214123,-0.425876,-0.713647,-0.073547,0.696634,-0.308408,0.691977,-0.228727,0.684728,-0.207882,0.000000,0.000000,0.000000,1.000000
27.411431,0.114081,0.969220,0.218171,-0.427836,-0.713773,-0.072787,0.696584,-0.308293,0.691023,-0.235192,0.683500,-0.207651,0.000000,0.000000,0.000000,1.000000
27.428104,0.119075,0.967628,0.222524,-0.429770,-0.714125,-0.072243,0.696280,-0.308167,0.689816,-0.241820,0.682405,-0.207490,0.000000,0.000000,0.000000,1.000000
27.444778,0.123870,0.965931,0.227230,-0.431649,-0.714716,-0.072005,0.695698,-0.308034,0.688358,-0.248581,0.681447,-0.207365,0.000000,0.000000,0.000000,1.000000
27.461451,0.128596,0.964193,0.231937,-0.433463,-0.715310,-0.071806,0.695108,-0.307894,0.686873,-0.255295,0.680463,-0.207282,0.000000,0.000000,0.000000,1.000000
27.478125,0.133622,0.962429,0.236379,-0.435188,-0.715754,-0.071251,0.694708,-0.307496,0.685450,-0.262017,0.679342,-0.206556,0.000000,0.000000,0.000000,1.000000
27.494799,0.138406,0.960812,0.240175,-0.436861,-0.715921,-0.070504,0.694613,-0.307233,0.684326,-0.268085,0.678107,-0.206354,0.000000,0.000000,0.000000,1.000000
27.511472,0.142872,0.959353,0.243370,-0.438434,-0.715949,-0.069603,0.694674,-0.306999,0.683377,-0.273490,0.676904,-0.206332,0.000000,0.000000,0.000000,1.000000
27.528146,0.146915,0.957949,0.246476,-0.439887,-0.716216,-0.068843,0.694474,-0.306749,0.682239,-0.278558,0.675985,-0.206369,0.000000,0.000000,0.000000,1.000000
27.544819,0.150538,0.956542,0.249729,-0.441224,-0.716775,-0.068367,0.693945,-0.306470,0.680861,-0.283465,0.675334,-0.206433,0.000000,0.000000,0.000000,1.000000
27.561493,0.153972,0.955127,0.253034,-0.442468,-0.717497,-0.067989,0.693236,-0.306162,0.679331,-0.288290,0.674832,-0.206517,0.000000,0.000000,0.000000,1.000000
27.578166,0.157552,0.953591,0.256597,-0.444209,-0.718309,-0.067644,0.692428,-0.306199,0.677650,-0.293409,0.674316,-0.206425,0.000000,0.000000,0.000000,1.000000
27.594840,0.160985,0.952084,0.260036,-0.445513,-0.718899,-0.067401,0.691839,-0.305990,0.676216,-0.298316,0.673602,-0.206494,0.000000,0.000000,0.000000,1.000000
27.611514,0.164328,0.950693,0.263018,-0.446636,-0.719275,-0.066979,0.691489,-0.305699,0.675011,-0.302813,0.672803,-0.206619,0.000000,0.000000,0.000000,1.000000
27.628187,0.167455,0.949346,0.265895,-0.447665,-0.719662,-0.066629,0.691121,-0.305382,0.673829,-0.307087,0.672051,-0.206747,0.000000,0.000000,0.000000,1.000000
27.644861,0.170283,0.947957,0.269036,-0.448636,-0.720220,-0.066606,0.690541,-0.305050,0.672523,-0.311353,0.671396,-0.206853,0.000000,0.000000,0.000000,1.000000
27.661534,0.172861,0.946564,0.272277,-0.449571,-0.720965,-0.066743,0.689750,-0.304701,0.671066,-0.315533,0.670902,-0.206931,0.000000,0.000000,0.000000,1.000000
27.678208,0.175458,0.945013,0.275980,-0.450502,-0.721895,-0.067107,0.688741,-0.304458,0.669390,-0.320074,0.670425,-0.206190,0.000000,0.000000,0.000000,1.000000
27.694881,0.178076,0.943287,0.280178,-0.451439,-0.722930,-0.067754,0.687591,-0.304131,0.667579,-0.324992,0.669865,-0.206007,0.000000,0.000000,0.000000,1.000000
27.711555,0.180597,0.941541,0.284404,-0.452369,-0.723909,-0.068509,0.686486,-0.303778,0.665839,-0.329859,0.669217,-0.206012,0.000000,0.000000,0.000000,1.000000
27.728228,0.182969,0.939856,0.288432,-0.453293,-0.724897,-0.069212,0.685372,-0.303399,0.664114,-0.334485,0.668635,-0.206075,0.000000,0.000000,0.000000,1.000000
27.744902,0.185413,0.938177,0.292311,-0.454215,-0.725914,-0.069729,0.684242,-0.302981,0.662323,-0.339060,0.668107,-0.206171,0.000000,0.000000,0.000000,1.000000
27.761575,0.187699,0.936572,0.295976,-0.455119,-0.727002,-0.070156,0.683042,-0.302524,0.660483,-0.343381,0.667722,-0.206287,0.000000,0.000000,0.000000,1.000000
27.778249,0.189802,0.934829,0.300118,-0.455752,-0.728348,-0.070919,0.681527,-0.302116,0.658395,-0.347945,0.667421,-0.205469,0.000000,0.000000,0.000000,1.000000
27.794922,0.191805,0.932909,0.304782,-0.456535,-0.729919,-0.071998,0.679732,-0.301572,0.656072,-0.352842,0.667138,-0.205309,0.000000,0.000000,0.000000,1.000000
27.811596,0.193622,0.930877,0.309803,-0.457343,-0.731781,-0.073296,0.677587,-0.300911,0.653458,-0.357904,0.667006,-0.205385,0.000000,0.000000,0.000000,1.000000
27.828270,0.195188,0.928972,0.314503,-0.458120,-0.733600,-0.074545,0.675480,-0.300134,0.650947,-0.362565,0.666944,-0.205567,0.000000,0.000000,0.000000,1.000000
27.844943,0.196421,0.927304,0.318632,-0.458848,-0.735388,-0.075623,0.673413,-0.299225,0.648555,-0.366591,0.667074,-0.205796,0.000000,0.000000,0.000000,1.000000
27.861617,0.197459,0.925640,0.322801,-0.459552,-0.737374,-0.076741,0.671112,-0.298164,0.645980,-0.370542,0.667390,-0.206042,0.000000,0.000000,0.000000,1.000000
27.878290,0.198533,0.923881,0.327154,-0.460318,-0.739771,-0.077701,0.668357,-0.296928,0.642902,-0.374710,0.668034,-0.206200,0.000000,0.000000,0.000000,1.000000
27.894964,0.199008,0.922179,0.331635,-0.461004,-0.742772,-0.078817,0.664890,-0.295485,0.639285,-0.378648,0.669283,-0.206348,0.000000,0.000000,0.000000,1.000000
27.911638,0.199094,0.920537,0.336114,-0.461642,-0.746144,-0.079960,0.660966,-0.293854,0.635319,-0.382384,0.670934,-0.206464,0.000000,0.000000,0.000000,1.000000
27.928311,0.198961,0.918742,0.341070,-0.462263,-0.750049,-0.081240,0.656373,-0.292044,0.630746,-0.386412,0.672938,-0.206538,0.000000,0.000000,0.000000,1.000000
27.944984,0.198596,0.916598,0.346998,-0.462872,-0.754551,-0.082955,0.650977,-0.290070,0.625469,-0.391109,0.675146,-0.206583,0.000000,0.000000,0.000000,1.000000
