timestamp,m00,m01,m02,m10,m11,m12,m20,m21,m22
3.618190,1328.675903,0.000000,966.288269,0.000000,1328.675903,719.407471,0.000000,0.000000,1.000000
3.634863,1328.661011,0.000000,966.274841,0.000000,1328.661011,719.415100,0.000000,0.000000,1.000000
3.651537,1328.655151,0.000000,966.266724,0.000000,1328.655151,719.426270,0.000000,0.000000,1.000000
3.668211,1328.658203,0.000000,966.256042,0.000000,1328.658203,719.435852,0.000000,0.000000,1.000000
3.684884,1328.649170,0.000000,966.271912,0.000000,1328.649170,719.453674,0.000000,0.000000,1.000000
3.701558,1328.687866,0.000000,966.246643,0.000000,1328.687866,719.431091,0.000000,0.000000,1.000000
3.718232,1328.613403,0.000000,966.245789,0.000000,1328.613403,719.436646,0.000000,0.000000,1.000000
3.734905,1328.628296,0.000000,966.305237,0.000000,1328.628296,719.386658,0.000000,0.000000,1.000000
3.751579,1328.690918,0.000000,966.263977,0.000000,1328.690918,719.370422,0.000000,0.000000,1.000000
3.768253,1328.675903,0.000000,966.270081,0.000000,1328.675903,719.360779,0.000000,0.000000,1.000000
3.784927,1328.631348,0.000000,966.244019,0.000000,1328.631348,719.373718,0.000000,0.000000,1.000000
3.801600,1328.673096,0.000000,966.261169,0.000000,1328.673096,719.364563,0.000000,0.000000,1.000000
3.818274,1328.682007,0.000000,966.274414,0.000000,1328.682007,719.372009,0.000000,0.000000,1.000000
3.834948,1328.637207,0.000000,966.257629,0.000000,1328.637207,719.391174,0.000000,0.000000,1.000000
3.851621,1328.675903,0.000000,966.287231,0.000000,1328.675903,719.364502,0.000000,0.000000,1.000000
3.868295,1328.675903,0.000000,966.258179,0.000000,1328.675903,719.339905,0.000000,0.000000,1.000000
3.884969,1328.652100,0.000000,966.249023,0.000000,1328.652100,719.372437,0.000000,0.000000,1.000000
3.901642,1328.649170,0.000000,966.293518,0.000000,1328.649170,719.354980,0.000000,0.000000,1.000000
3.918316,1328.658203,0.000000,966.248535,0.000000,1328.658203,719.371887,0.000000,0.000000,1.000000
3.934990,1328.658203,0.000000,966.271362,0.000000,1328.658203,719.372986,0.000000,0.000000,1.000000
3.951663,1328.673096,0.000000,966.300598,0.000000,1328.673096,719.352478,0.000000,0.000000,1.000000
3.968337,1328.655151,0.000000,966.301025,0.000000,1328.655151,719.406372,0.000000,0.000000,1.000000
3.985011,1328.634277,0.000000,966.231628,0.000000,1328.634277,719.371460,0.000000,0.000000,1.000000
4.001684,1328.661011,0.000000,966.203674,0.000000,1328.661011,719.397156,0.000000,0.000000,1.000000
4.018358,1328.670044,0.000000,966.223877,0.000000,1328.670044,719.389221,0.000000,0.000000,1.000000
4.035032,1328.655151,0.000000,966.225037,0.000000,1328.655151,719.409485,0.000000,0.000000,1.000000
4.051705,1328.655151,0.000000,966.248657,0.000000,1328.655151,719.425781,0.000000,0.000000,1.000000
4.068379,1328.637207,0.000000,966.254395,0.000000,1328.637207,719.420715,0.000000,0.000000,1.000000
4.085053,1328.664062,0.000000,966.245483,0.000000,1328.664062,719.416321,0.000000,0.000000,1.000000
4.101726,1328.673096,0.000000,966.226074,0.000000,1328.673096,719.410034,0.000000,0.000000,1.000000
4.118400,1328.675903,0.000000,966.196472,0.000000,1328.675903,719.431396,0.000000,0.000000,1.000000
4.135074,1328.649170,0.000000,966.228455,0.000000,1328.649170,719.401978,0.000000,0.000000,1.000000
4.151748,1328.670044,0.000000,966.233398,0.000000,1328.670044,719.408569,0.000000,0.000000,1.000000
4.168421,1328.658203,0.000000,966.228455,0.000000,1328.658203,719.437317,0.000000,0.000000,1.000000
4.185095,1328.696899,0.000000,966.170898,0.000000,1328.696899,719.432678,0.000000,0.000000,1.000000
4.201769,1328.682007,0.000000,966.193481,0.000000,1328.682007,719.387512,0.000000,0.000000,1.000000
4.218442,1328.684937,0.000000,966.202271,0.000000,1328.684937,719.449219,0.000000,0.000000,1.000000
4.235116,1328.684937,0.000000,966.171021,0.000000,1328.684937,719.436218,0.000000,0.000000,1.000000
4.251790,1328.687866,0.000000,966.204590,0.000000,1328.687866,719.455383,0.000000,0.000000,1.000000
4.268463,1328.664062,0.000000,966.189575,0.000000,1328.664062,719.413818,0.000000,0.000000,1.000000
4.285137,1328.673096,0.000000,966.204041,0.000000,1328.673096,719.419189,0.000000,0.000000,1.000000
4.301811,1328.649170,0.000000,966.232544,0.000000,1328.649170,719.400818,0.000000,0.000000,1.000000
4.318484,1328.652100,0.000000,966.236633,0.000000,1328.652100,719.374451,0.000000,0.000000,1.000000
4.335158,1328.655151,0.000000,966.235718,0.000000,1328.655151,719.431274,0.000000,0.000000,1.000000
4.351832,1328.649170,0.000000,966.226868,0.000000,1328.649170,719.447388,0.000000,0.000000,1.000000
4.368505,1328.646240,0.000000,966.216431,0.000000,1328.646240,719.483582,0.000000,0.000000,1.000000
4.385179,1328.649170,0.000000,966.215942,0.000000,1328.649170,719.502136,0.000000,0.000000,1.000000
4.401853,1328.631348,0.000000,966.214294,0.000000,1328.631348,719.472595,0.000000,0.000000,1.000000
4.418526,1328.619507,0.000000,966.216858,0.000000,1328.619507,719.462524,0.000000,0.000000,1.000000
4.435200,1328.667114,0.000000,966.241882,0.000000,1328.667114,719.449463,0.000000,0.000000,1.000000
4.451874,1328.670044,0.000000,966.218933,0.000000,1328.670044,719.466980,0.000000,0.000000,1.000000
4.468547,1328.652100,0.000000,966.244446,0.000000,1328.652100,719.475586,0.000000,0.000000,1.000000
4.485221,1328.658203,0.000000,966.192627,0.000000,1328.658203,719.440979,0.000000,0.000000,1.000000
4.501895,1328.696899,0.000000,966.218506,0.000000,1328.696899,719.461426,0.000000,0.000000,1.000000
4.518568,1328.658203,0.000000,966.212463,0.000000,1328.658203,719.467590,0.000000,0.000000,1.000000
4.535242,1328.649170,0.000000,966.220337,0.000000,1328.649170,719.465088,0.000000,0.000000,1.000000
4.551916,1328.661011,0.000000,966.224915,0.000000,1328.661011,719.465942,0.000000,0.000000,1.000000
4.568589,1328.682007,0.000000,966.235291,0.000000,1328.682007,719.481995,0.000000,0.000000,1.000000
4.585263,1328.702759,0.000000,966.202271,0.000000,1328.702759,719.454956,0.000000,0.000000,1.000000
4.601937,1328.682007,0.000000,966.218628,0.000000,1328.682007,719.464966,0.000000,0.000000,1.000000
4.618611,1328.675903,0.000000,966.213806,0.000000,1328.675903,719.455994,0.000000,0.000000,1.000000
4.635284,1328.768311,0.000000,966.219910,0.000000,1328.768311,719.465454,0.000000,0.000000,1.000000
4.651958,1329.212036,0.000000,966.219543,0.000000,1329.212036,719.461975,0.000000,0.000000,1.000000
4.668631,1329.217896,0.000000,966.238342,0.000000,1329.217896,719.455322,0.000000,0.000000,1.000000
